created_date,StartLon,StartLat
28-09-2016 00:53,-97.667,30.203
28-09-2016 00:54,-97.723,30.242
28-09-2016 00:51,-97.737,30.301
28-09-2016 00:51,-97.787,30.22
28-09-2016 00:56,-97.762,30.255
28-09-2016 00:55,-97.72,30.3
28-09-2016 00:58,-97.725,30.258
28-09-2016 00:58,-97.668,30.197
28-09-2016 00:57,-97.737,30.385
28-09-2016 01:00,-97.742,30.283
28-09-2016 01:03,-97.741,30.242
28-09-2016 01:04,-97.746,30.265
28-09-2016 01:04,-97.747,30.266
28-09-2016 01:05,-97.736,30.265
28-09-2016 01:04,-97.749,30.286
28-09-2016 01:04,-97.735,30.241
28-09-2016 01:04,-97.745,30.227
28-09-2016 00:59,-97.717,30.37
28-09-2016 01:02,-97.752,30.269
28-09-2016 01:06,-97.748,30.288
28-09-2016 01:05,-97.723,30.293
28-09-2016 01:06,-97.742,30.264
28-09-2016 01:05,-97.786,30.26
28-09-2016 01:09,-97.723,30.236
28-09-2016 01:09,-97.758,30.246
28-09-2016 01:07,-97.751,30.289
28-09-2016 01:05,-97.785,30.444
28-09-2016 01:07,-97.744,30.264
28-09-2016 01:10,-97.745,30.265
28-09-2016 01:06,-97.733,30.295
28-09-2016 01:09,-97.754,30.27
28-09-2016 01:07,-97.704,30.287
28-09-2016 01:15,-97.748,30.252
28-09-2016 01:13,-97.722,30.262
28-09-2016 01:13,-97.762,30.256
28-09-2016 01:11,-97.736,30.278
28-09-2016 01:14,-97.739,30.265
28-09-2016 01:15,-97.76,30.274
28-09-2016 01:14,-97.735,30.267
28-09-2016 01:16,-97.747,30.288
28-09-2016 01:15,-97.747,30.266
28-09-2016 01:16,-97.754,30.271
28-09-2016 01:10,-97.718,30.24
28-09-2016 01:18,-97.742,30.282
28-09-2016 01:13,-97.738,30.341
28-09-2016 01:16,-97.765,30.2
28-09-2016 01:11,-97.745,30.282
28-09-2016 01:15,-97.716,30.269
28-09-2016 01:18,-97.748,30.265
28-09-2016 01:11,-97.717,30.396
28-09-2016 01:14,-97.774,30.242
28-09-2016 01:16,-97.745,30.29
28-09-2016 01:20,-97.749,30.251
28-09-2016 01:21,-97.747,30.261
28-09-2016 01:19,-97.8,30.23
28-09-2016 01:18,-97.742,30.268
28-09-2016 01:16,-97.76,30.261
28-09-2016 01:19,-97.666,30.203
28-09-2016 01:15,-97.748,30.288
28-09-2016 01:18,-97.742,30.288
28-09-2016 01:19,-97.743,30.284
28-09-2016 01:20,-97.729,30.286
28-09-2016 01:19,-97.807,30.258
28-09-2016 01:22,-97.666,30.197
